{'k_frac': 0.068, 'forg_val': 0.8135918937805731, 'util_val': 0.5329340441094752, 'time_taken': 2.072575330734253}
{'k_frac': 0.01, 'forg_val': 0.7763801537386443, 'util_val': 0.5580852463079868, 'time_taken': 1.6862502098083496}
{'k_frac': 0.03, 'forg_val': 0.8135918937805731, 'util_val': 0.5302848295014067, 'time_taken': 1.7243707180023193}
{'k_frac': 0.05, 'forg_val': 0.8134171907756813, 'util_val': 0.5326082713089314, 'time_taken': 1.8867261409759521}
{'k_frac': 0.1, 'forg_val': 0.8043326345213138, 'util_val': 0.5135163226166997, 'time_taken': 2.1227450370788574}
{'k_frac': 0.2, 'forg_val': 0.8043326345213138, 'util_val': 0.534792102835604, 'time_taken': 2.671950340270996}
{'k_frac': 0.5, 'forg_val': 0.8041579315164221, 'util_val': 0.5331002193656872, 'time_taken': 4.3297953605651855}
{'k_frac': 0.75, 'forg_val': 0.7947239692522712, 'util_val': 0.530700300197574, 'time_taken': 5.186668157577515}
{'k_frac': 1.0, 'forg_val': 0.8135918937805731, 'util_val': 0.5304950978353633, 'time_taken': 5.991166114807129}
