epoch,step,loss,loss_type
0,31,-3.626715660095215,ascent
1,31,-2.868257761001587,ascent
2,31,-3.7832629680633545,ascent
3,31,-5.090053558349609,ascent
4,31,-5.953211307525635,ascent
5,31,-6.34702730178833,ascent
6,21,-7.15163516998291,ascent
